conversation_id,customer_message,apple_response,intent,resolution_status,n_turns,split
conv_700,@AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE @AppleSupport  https://t.co/NV0yucs0lB,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,autocorrect_text_bug,unresolved_no_signal,4,train
conv_704,@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,@115855 Any steps tried since it started last night?,other_unclear,unresolved_no_signal,3,train
conv_711,What is up with this “ I️ “ Why are my I’s question marks ? @AppleSupport I️ need answers because it’s annoying 🙃,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,autocorrect_text_bug,unresolved_no_signal,7,train
conv_714,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",autocorrect_text_bug,escalated_to_dm,3,train
conv_719,Tf is wrong with my keyboard @115858,"@115857 Fill us in on what is happening, then we can help out from there.",other_unclear,unresolved_no_signal,3,train
conv_723,@115858 @AppleSupport hello are all the lines closed for tonight #help,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,other_unclear,unresolved_no_signal,3,train
conv_730,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7","@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",autocorrect_text_bug,escalated_to_dm,5,train
conv_736,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",ios_software_update,unresolved_no_signal,3,classifier_eval
conv_747,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,ios_software_update,customer_thanked,9,train
conv_756,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,ios_software_update,unresolved_no_signal,3,train
conv_765,After update #ios1103 no spotify on my lock screen?@AppleSupport,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,screen_hardware_damage,unresolved_no_signal,5,train
conv_1759,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,"@116098 We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG",autocorrect_text_bug,unresolved_no_signal,3,train
conv_1764,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",@116100 This article should help with that: https://t.co/usOJWy6ChP,account_security_icloud,customer_thanked,5,train
conv_1770,@AppleSupport why is my home sharing not working and how do i fix it,@116101 We're happy to help. Has Home Sharing worked with these devices before?,device_not_working,unresolved_no_signal,3,train
conv_1779,@115858 my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,@116102 We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?,ios_software_update,escalated_to_dm,7,train
conv_1791,why won’t my apps fuccin download or update @AppleSupport,@116107 Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,ios_software_update,unresolved_no_signal,5,train
conv_2613,"Cupertino, we have a problem. .@115858 .@116333 .@AppleSupport .@190 https://t.co/ImMcJ8QsTM",@116332 We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,other_unclear,unresolved_no_signal,3,train
conv_2616,"@AppleSupport why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life","@116334 Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",battery_power,unresolved_no_signal,3,train
